Name,Global_Sales
Assassin's Creed IV: Black Flag,3.71
FIFA Soccer 2005,3.7
Pokémon Trading Card Game,3.7
Friend Collection,3.67
Tony Hawk's Pro Skater 4,3.67
Star Wars Battlefront (2015),3.66
MySims,3.66
Midnight Club 3: DUB Edition,3.65
Banjo-Kazooie,3.65
SOCOM: U.S. Navy SEALs,3.65
Jak and Daxter: The Precursor Legacy,3.64
Pokemon Snap,3.63
Pro Evolution Soccer 2008,3.63
Resident Evil 4,3.62
Guitar Hero: World Tour,3.62
FIFA Soccer 10,3.62
Star Wars: Battlefront,3.61
Doom II: Hell on Earth,3.61
The Simpsons: Road Rage,3.61
Luigi's Mansion,3.6
Battlefield 4,3.59
Star Wars: Battlefront II,3.59
Just Dance 2014,3.59
Cooking Mama 2: Dinner With Friends,3.58
WWF SmackDown!,3.58
Croc: Legend of the Gobbos,3.56
Grand Theft Auto: Liberty City Stories,3.54
The Getaway,3.54
Tomb Raider III: Adventures of Lara Croft,3.54
James Bond 007: Agent Under Fire,3.53
LEGO Star Wars: The Video Game,3.53
Rugrats in Paris: The Movie,3.52
FIFA Soccer 11,3.52
Spyro 2: Ripto's Rage!,3.52
Left 4 Dead,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,3.51
Assassin's Creed: Unity,3.5
Kung Fu,3.5
Resident Evil 5,3.5
Assassin's Creed: Brotherhood,3.49
FIFA Soccer 2004,3.49
Battlefield 4,3.49
Batman: Arkham Asylum,3.48
Battlefield 4,3.48
Battlefield: Bad Company 2,3.47
Mario & Sonic at the Olympic Winter Games,3.46
Guitar Hero: On Tour,3.46
Clubhouse Games,3.45
Monster Hunter 4,3.44
Borderlands,3.44
Tekken 4,3.44
Final Fantasy III,3.42
Grand Theft Auto 2,3.42
Metal Gear Solid V: The Phantom Pain,3.41
Spider-Man 2,3.41
F-1 Race,3.41
FIFA Soccer 2003,3.4
LittleBigPlanet 2,3.39
Crash Bash,3.39
Assassin's Creed Syndicate,3.39
LEGO Batman: The Videogame,3.38
Destiny,3.37
WWF War Zone,3.36
The Legend of Zelda: Majora's Mask,3.36
Far Cry 3,3.35
Rugrats: Search For Reptar,3.34
English Training: Have Fun Improving Your Skills!,3.33
James Bond 007: Nightfire,3.33
Ratchet & Clank,3.33
Monster Hunter X,3.32
Star Wars Episode III: Revenge of the Sith,3.32
The Legend of Zelda: Spirit Tracks,3.31
Max Payne,3.31
Assassin's Creed IV: Black Flag,3.3
The Lord of the Rings: The Return of the King,3.28
Yokai Watch 2 Ganso/Honke,3.28
Gears of War: Ultimate Edition,3.28
True Crime: Streets of LA,3.27
Professor Layton and the Unwound Future,3.26
Gran Turismo (PSP),3.25
FIFA 16,3.25
Wii Music,3.25
Tekken,3.24
